internship	'ɪntɝnʃɪp	ˈɪntɜ:nʃɪp	n::<美>实习医师	internship programs::实习计划；实习课程	...an internship in surgery in New York.::…一个在纽约做外科实习的职位。
trial	'traɪəl	ˈtraɪəl	n::审判	on trial::在试验中；在受审¦clinical trial::临床试验；诊治试验¦trial production::产品试制¦trial and error::反复试验；尝试错误法¦trial run::试车；试验；测试运行¦free trial::免费试用¦trials and tribulations::艰难困苦；痛苦与磨难¦trial period::试用期¦trial order::试订单；试用订货¦first trial::初审；初次试验¦trial implementation::试行¦criminal trial::刑事审判¦fair trial::[法]公平审判¦field trial::（新产品等的）现场试验；（猎狗）实地追猎选拔或测试¦trial version::试用版¦civil trial::民事审判¦time trial::计时赛；计时游；计时测验¦by trial and error::反复试验，不断摸索¦stand trial::在受审¦court trial::法庭审判	The trial is due to start next week.::审理定于下周开始。
untimely	ʌn'taɪmli	ʌnˈtaɪmli	adj::不适时的，不合时宜的		an untimely interruption::不是时候的打扰
omelet		ˈɔməlɪt	n::煎蛋饼		...a cheese omelette.::…一份奶酪煎蛋饼。
moth	mɔθ	mɔθ	n::蛾	diamondback moth::小菜蛾¦silkworm moth::蚕蛾¦gypsy moth::舞毒蛾（等于Porthetria dispar）¦silk moth::蚕蛾	What do a hummingbird, a moth, and a maple tree have in common?::蜂鸟、蛾子和枫树之间有什么共同之处呢？¦Around streetlights in leafy suburbs what often seems like a moth at first glance may in fact be a small bat.::在绿树成荫的郊区，街灯周围经常有乍一看象蛾子的飞行物，而事实上可能是一只微蝠。¦Authorities say the mob of 'roos is endangering a species of local lizard and the threatened gold sun moth through overgrazing.::有关部门表示，由于过度放牧，这些袋鼠已经对一种当地蜥蜴和金日蛾的生存构成了威胁。
champagne	ʃæm'pen	ʃæmˈpeɪn	n::香槟酒	pink champagne::玫瑰香槟酒¦champagne bottle::凹底很深的酒瓶；香槟酒瓶	I drank a cup of champagne.::我喝了一杯香槟。¦The champagne is spilling out of the bottle.::香槟从瓶子中不断地溢出来。¦The champagne cork popped when he pulled it out.::他拔香槟酒的瓶塞时它砰的一声开了。
dive	daɪv	daɪv	v::潜水	dive into::v. 投入；把手伸入；钻研¦dive in::开始大吃；头朝下跳入水中¦dive for::扑向；潜水寻找…¦take a dive::◎突然下降，急剧下降，(行市等)暴跌¦dive off::从…跳水¦scuba dive::水肺潜水，蛙潜¦nose dive::头部朝下的俯冲；（价格等的）暴跌；一落千丈¦fish dive::鱼跃	Diving off the cliffs is dangerous.::从悬崖上跳水是很危险的。
raft	ræft	rɑ:ft	n::木筏	raft foundation::筏式地基，板式基础¦life raft::救生筏¦bamboo raft::竹筏；竹排	...a river trip on bamboo rafts through dense rainforest.::…一次乘着竹筏穿过茂密雨林的河上旅行。
slit	slɪt	slɪt	v::切开，撕开	slit lamp::[医]裂隙灯；缝灯；狭缝灯¦slit width::狭缝（缝隙）宽度	Guy slit open the envelope.::盖伊拆开信封。
draw	drɔ	drɔ:	v::拖	draw lessons from::从…吸取教训¦draw up::草拟，起草；停住；使靠近¦draw on::利用；吸收；戴上；临近¦draw a conclusion::得出结论；作结论¦draw out::取出；拟订；拉长；导致¦draw in::引诱；进站；接近黄昏；紧缩开支¦draw the conclusion::得出结论；推断¦draw attention::引起注意¦draw from::从…中得到；从…提取¦draw near::靠近；接近¦lucky draw::幸运抽奖¦draw a picture::画一张图；画幅画¦draw upon::利用；[经]开出；总结¦draw back::拉开；收回；退却；使保持距离¦draw a line::画一条线，划一界线¦draw nigh::接近，临近¦draw against::按…开具；打成平局¦draw together::聚集；靠拢¦draw bead::张力调整杆；拉深压边筋；拉道¦draw down::引来，招致；从涂层取样	
cataract	'kætərækt	'kætərækt	n::大瀑布		
