abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？
abbreviation	əˌbrivɪ'eʃən	əbriːvɪ'eɪʃ(ə)n	n::缩略语		The abbreviation for Kansas is KS.::的缩写是。
abnormal	æbˈnɔːrml	æb'nɔːml	adj::反常的；变态的	abnormal phenomena::异常现象¦abnormal behavior::异常行为；变态行为¦abnormal condition::异常情况¦abnormal psychology::变态心理学¦abnormal sound::不正常声音；杂音¦abnormal return::异常返回¦abnormal situation::异常情况¦abnormal distribution::[化]非正态分布¦abnormal menstruation::月经失调	abnormal behaviour::反常行为¦an abnormal level of cholesterol::胆固醇水平异常¦My parents thought it was abnormal for a boy to be interested in ballet.::我父母认为一个男孩子对芭蕾舞感兴趣并不正常。
abolish	ə'bɑlɪʃ	ə'bɒlɪʃ	v::废除		Slavery was abolished in the US in the 19th century.::美国于19世纪废除了奴隶制。
aboriginal	,æbə'rɪdʒənl	æbə'rɪdʒɪn(ə)l	n&a::土著(的)；土生动植物(的)		He remained fascinated by the Aboriginals' tales.::他一直对澳大利亚土著人的故事很着迷。
abort	ə'bɔrt	ə'bɔːt	v::取消；流产		The disease causes pregnant animals to abort.::这种疾病会导致怀孕的动物流产。
abortion	ə'bɔrʃən	ə'bɔːʃ(ə)n	n::流产；(计划)失败	induced abortion::n. [医]人工流产¦spontaneous abortion::自然流产；自发性流产¦threatened abortion::先兆流产¦habitual abortion::习惯性流产¦incomplete abortion::不全流产，不完全流产	She decided to have an abortion .::她决定做人工流产。¦anti-abortion campaigners::参与反堕胎运动的人
abound	ə'baʊnd	ə'baʊnd	v::多；富于	abound in::vt. 富于¦abound with::充满	Rumors of such coordination abound, but as with many rumors, they have no basis in fact.::关于这类协调的谣传很多；但如同许多其他谣传一样，它们没有事实根据。¦Finally, offer this closing prayer to the Lord: May the God of hope fill you with all joy and peace in believing, that you may abound in hope by the power of the Holy Spirit.::最后，将结束的祷告告诉主：愿在你拥有信仰的时候希望的上帝用快乐与和平充满你的人生，让你在圣灵的力量下富于希望。
abrasion	ə'breʒən	ə'breɪʒ(ə)n	n::磨损，擦伤处	abrasion resistance::耐磨性；抗磨损性¦abrasion resistant::耐磨性，耐磨的¦resistance to abrasion::磨蚀阻力¦abrasion proof::[机]耐磨¦abrasion wear::磨损；磨耗¦abrasion test::磨耗试验¦abrasion performance::耐磨性，耐磨耗性¦surface abrasion::表面磨蚀，表面磨耗¦abrasion tester::磨耗试验机	She was treated for cuts and abrasions.::她因划伤和擦伤而接受治疗。
abridge	ə'brɪdʒ	ə'brɪdʒ	v::(书等)删节		Article 33 A book publisher may alter or abridge a work with the permission of the copyright owner.::第三十三条图书出版者经作者许可，可以对作品修改、删节。
abrupt	ə'brʌpt	ə'brʌpt	adj::突然的，粗暴的	abrupt change::突变；陡变¦abrupt slope::陡坡	an abrupt change of plan::计划的突然改变
absorb	æbˈsɔrb; æbˈzɔrb; əbˈsɔrb	əb'zɔːb; -'sɔːb	v::吸收；吸引	absorb in::集中精力做某事；全神贯注于	Plants absorb nutrients from the soil.::植物从土壤中吸收养分。
abstract	'æbstrækt	'æbstrækt	adj::抽象的¦n::(书籍、演说等的)摘要	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	By the age of seven, children are capable of thinking in abstract terms .::儿童到了七岁就具有抽象思维的能力。¦Human beings are the only creatures capable of abstract thought (=  thinking about ideas  ) .::人类是唯一具有抽象思维能力的动物。
absurd	əbˈsɚd, -ˈzɚd	əb'sɜːd	adj::可笑的，荒谬的	theatre of the absurd::荒谬剧场；荒诞派戏剧	It seems an absurd idea.::这似乎是个荒唐的想法。
