textbook	'tɛkstbʊk	'teks(t)bʊk	n::教科书；课本		a biology textbook::一本生物教科书
conversation	,kɑnvɚ'seʃən	kɒnvə'seɪʃ(ə)n	n::交谈；谈话	in conversation::在谈话；交谈中¦english conversation::英语会话；英文会话¦telephone conversation::打电话¦man-machine conversation::人机对话¦private conversation::私人通话¦make conversation::交谈；闲聊；找话谈¦in conversation with::和……谈话¦make a conversation::会话¦conversation with god::与神对话（影片名称）	a telephone conversation::电话交谈¦Children quickly get bored by adult conversation.::儿童对成年人的谈话很快就会厌倦。¦They had a short conversation in German and seemed to be disagreeing about something.::他们用德语说了一会儿，好像对什么事有分歧。¦It’s impossible to carry on a conversation with all this noise in the background.::在这么喧闹的环境中进行谈话是不可能的。¦‘Did you have a good journey?’ he said, trying to make conversation .::“你旅途愉快吗？”他问道，试图找话谈。¦He was silent, no matter how hard Sofia tried to engage him in conversation .::无论索菲娅怎么引他说话，他就是一声不吭。¦After a while, the conversation turned to a friend’s coming wedding.::过了一会儿，话题就转到一个朋友即将举行的婚礼上去了。¦They were deep in conversation, relaxed and smiling.::他们谈得很投入，很放松，脸上带着微笑。¦He could hear snatches of conversation from across the room.::他从房间对面听得到零星的对话。
aloud	ə'laʊd	ə'laʊd	adv::大声地；出声地	read aloud::大声朗读¦reading aloud::大声朗读；大声朗诵¦thinking aloud::[心理学]出声思维；放声思考¦think aloud::边想边说出，自言自语	When we were children, our father read aloud to us.::当我们是孩子时，我们的父亲大声地朗读给我们听。
pronunciation	prə,nʌnsɪ'eʃən	prə,nʌnsɪ'eɪʃ(ə)n	n::发音；读音	correct pronunciation::正音；正确发音	She gave the word its French pronunciation.::她给出了这个单词的法语发音。
sentence	'sɛntəns	'sent(ə)ns	n::句子		His voice dropped at the end of the sentence.::到句子结尾处，他压低了嗓音。
patient	ˈpeʃənt	'peɪʃ(ə)nt	adj::有耐心的¦n::病人	patient of::能忍受¦patient with::对……有耐心¦patient care::病人护工；病人照护；病患照顾¦patient safety::病人安全¦mental patient::精神病人¦patient compliance::病人的依从性；病人的配合度¦patient monitor::病人监护仪¦patient history::病历；既往症	You’ll just have to be patient and wait till I’m off the phone.::你只能耐心点，等我打完电话。
expression	ɪk'sprɛʃən	ɪkˈspreʃn	n::表达（方式）；表示	gene expression::[化]基因表达；基因表现¦facial expression::面部表情¦mathematical expression::数学表达式¦freedom of expression::言论自由；表达自由¦regular expression::正则表达式；正规表达式¦analytic expression::解析式；分析式¦relational expression::[计]关系表达式¦general expression::通式；一般式¦expression vector::表达载体¦emotional expression::表情；情绪表现¦explicit expression::显式表达式¦technique of expression::表现手法¦specific expression::特有表达式¦creative expression::创造性表达（如绘画、工艺等表现）¦give expression to::表达出¦beyond expression::无法表达；形容不出¦approximate expression::近似式¦find expression in something::在...中表达出来¦find expression in::在…中表现出¦arithmetic expression::算术表达式	Student leaders are demanding greater freedom of expression (= the right to say what you think without being punished ).::学生领袖要求得到更多的言论自由。
discover	dɪ'skʌvɚ	dɪ'skʌvə	v::发现		The body was discovered in a field.::尸体是在一块田地里找到的。¦Forest Service crews often discover campfires that have not been put out completely.::林务局工作人员常常发现未完全熄灭的营火。¦She discovered that she was pregnant.::她发觉自己怀孕了。
secret	'sikrɪt	'siːkrɪt	n::秘密；秘诀¦adj::秘密的；保密的	in secret::秘密地；私下地¦secret of success::n. 成功的秘诀¦keep a secret::保守秘密¦top secret::adj. 绝对机密的¦trade secret::n. 商业秘密；行业秘密¦secret service::特务机关；联邦经济情报局¦secret recipe::秘方；秘密配方¦business secret::[经]商业秘密¦secret weapon::秘密武器¦keep secret::保密；保守秘密¦secret love::私恋¦open secret::公开的秘密¦state secret::[法]国家机密¦secret code::保密码，密码¦secret agent::间谍；特务¦secret police::秘密警察¦secret society::秘密社团；帮会¦secret ballot::无记名投票¦secret message::机密信息，密电¦keep the secret::保守秘密	I can’t tell you. It’s a secret.::我不能告诉你，这是个秘密。¦It was no secret that the two men hated each other.::这两个男人相互仇视，这算不得什么秘密。¦Don’t worry. Your secret is safe with me (= I won’t tell anyone about it ) .::别担心，我会替你保守秘密。¦Your hair always looks so great – what’s your secret ?::你的头发看起来总是很漂亮——你的秘诀是什么？¦They kept their relationship secret from their parents.::他们俩的关系瞒着父母。
fall in love with			::爱上；与...相爱		
grammar	'græmɚ	'græmə	n::语法	english grammar::英语语法；英文文法¦grammar and vocabulary::语法与词汇¦generative grammar::生成文法；衍生语法¦grammar school::n. （英）文法学校；（美）初级中学¦case grammar::格文法¦universal grammar::普遍文法；通用文法¦transformational grammar::转换语法	Check your spelling and grammar.::检查你的拼写和语法。¦the rules of English grammar::英语的语法规则
