pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma(药； 毒) + cy → 药店； 药剂学			
foregone	'fɔrɡɔn	fɔː'gɒn	adj::过去的；先前的；预知的；预先决定的::¦v::发生在…之前（forego的过去分词）::	foregone conclusion::预料之中必然发生的事情；不可避免的结局		adj::过去的；先前的；预知的；预先决定的::past, ago, back	adj::foregoing:: 前述的；前面的；在前的¦v::foregoing:: 发生在…之前；走在…之前（forego的ing形式）¦vt::forego:: 放弃；居先；在……之前					
president	'prɛzɪdənt	'prezɪd(ə)nt	n::总统；董事长；校长；主席::the official leader of a country that does not have a king or queen	vice president::副总统；副主席¦former president::前任总统¦senior vice president::高级副总裁¦executive vice president::执行副总裁¦honorary president::名誉会长，名誉主席¦acting president::代总统；代理校长；代理总裁¦president elect::当选总统（尚未就职的）¦deputy president::副行长；副校长¦assistant president::总裁助理¦president office::校长办公室	President Bush::布什总统	n::总统；董事长；校长::principal, prez	adj::presidential:: 总统的；首长的；统辖的¦n::presidency:: 总统（或董事长、会长、大学校长等）的职位（任期）；管辖；支配¦n::presidentship:: 总统职位；校长任期		 preside(主持) + (e)nt(表人) → 主持国家大事的人 → 总统			
plastic	'plæstɪk	'plæstɪk	adj::塑料的；（外科）造型的；可塑的::made of plastic¦n::塑料制品；整形；可塑体::a light strong material that is produced by a chemical process, and which can be made into different shapes when it is soft	plastic deformation::[化]塑性变形，塑性应变¦plastic film::塑料薄膜；塑胶膜¦plastic bag::塑料袋；塑胶袋¦plastic packaging::塑料封装¦plastic surgery::[医]整形外科¦reinforced plastic::增强塑料¦plastic product::塑料制品¦plastic material::塑性材料，塑料¦plastic pipe::塑料管，塑料管材¦fiber reinforced plastic::纤维增强塑料¦plastic strain::塑性应变¦plastic part::塑料件；塑料零件¦plastic bottle::塑料瓶¦plastic welding::塑态焊接；塑性焊接¦plastic flow::塑性流动；塑性流；范性流变；粘（滞）流（动）¦plastic sheet::塑料片材；薄片；塑料薄膜¦plastic packing::塑料包装；塑料填密¦rigid plastic::硬质塑料¦foam plastic::泡沫塑料；泡沫塑胶¦plastic limit::塑性极限；塑性限度	a plastic spoon::塑料汤匙¦plastic bags::塑料袋	adj::[塑料][力]塑料的；（外科）造型的；可塑的::mouldable, malleable¦n::[塑料]塑料制品；整形；[力]可塑体::restricting, true-up	n::plasticizer:: 塑化剂；可塑剂¦n::plasticity:: 塑性，可塑性；适应性；柔软性¦n::plasticiser:: 增塑剂¦n::plastically:: 可塑性¦n::plastique:: 可塑炸弹¦vi::plasticize:: 塑化¦vi::plasticise:: （英）增塑（等于plasticize）¦vt::plasticize:: 使塑化¦vt::plasticise:: 使成可塑体					
provisionally	prə'viʒənəli		adv::临时地，暂时地::			adv::临时地，暂时地::briefly, temporarily	adj::provisional:: 临时的，暂时的；暂定的¦adj::provisory:: [法] 有附带条件的，有附文的；临时的¦n::provisional:: 临时邮票					
incentive	ɪn'sɛntɪv	ɪn'sentɪv	n::动机；刺激::something that encourages you to work harder, start a new activity etc¦adj::激励的；刺激的::	incentive mechanism::激励机制¦incentive system::奖励制度，激励制度¦incentive theory::激励理论；诱因论¦incentive plan::奖励计划，奖金计划¦economic incentive::经济激励，经济刺激；经济诱因¦incentive compatibility::激励相容；剌激的协调性¦incentive compensation::奖金¦material incentive::物质剌激，物质鼓励¦incentive pay::奖金，奖励津贴；奖励工资，激励工资¦tax incentive::税收鼓励¦positive incentive::正诱因，正激发	As an added incentive, there’s a bottle of champagne for the best team.::给最优秀的队发一瓶香槟作为额外的鼓励。	n::动机；刺激::motivation, stimulus, reason, excitement, needle¦adj::激励的；刺激的::stimulative, hortatory			 in(进入) + cent( = cant， 唱) + ive(形容词后缀) → 把(力量)唱进去 → 鼓励			
calculate	'kælkjulet	'kælkjʊleɪt	v::计算；以为；作打算::to find out how much something will cost, how long something will take etc, by using numbers	calculate on::指望；期待¦be calculated for::适合于……；为适合…而设计的	These instruments calculate distances precisely.::这些仪器计算距离非常精确。	vi::计算；以为；作打算::figure, cast¦vt::计算；预测；认为；打算::expect, propose, forecast, cast, find	adj::calculated:: 计算出的；适合的；有计划的¦adj::calculating:: 计算的；深谋远虑的；审慎的¦adj::calculable:: 可计算的；能预测的；可靠的¦adj::calculative:: 计算的，善于计算的；精明的¦n::calculation:: 计算；估计；计算的结果；深思熟虑¦n::calculator:: 计算器；计算者¦v::calculated:: 计算；估计；打算（calculate的过去式和过去分词）¦v::calculating:: 计算（calculate的ing形式）		 calcul(计算) + ate(做) → 计算； 推测			
attendee	ə'tɛn'di	æten'diː	n::出席者；在场者::someone who is at an event such as a meeting or a course		"All of us together, in that beautiful place, " one attendee recalls.::“我们聚在在那个美丽的地方，”一位出席聚会的员工回忆。¦Another theme that came up -- and that, as one attendee pointed out, is of particular interest as colleges look for ways to cut costs -- is the value of counseling centers.::新的问题出现了，正如一位大会出席者指出的那样，由于各高校目前正在寻求方法消减开支，学校咨询中心就被首先考虑到了。	n::出席者；在场者::turnout	n::attendance:: 出席；到场；出席人数¦n::attender:: 出席者；按规定常到的人；常客¦vi::attend:: 出席；致力于；照料；照顾¦vt::attend:: 出席；上（大学等）；照料；招待；陪伴		 attend(出席， 参加) + ee(表人) → 出席者			
designation	,dɛzɪɡ'neʃən	dezɪg'neɪʃ(ə)n	n::指定；名称；指示；选派::the act of choosing someone or something for a particular purpose, or of giving them a particular description		Her official designation is Systems Manager.::她的正式头衔是系统经理。	n::指定；名称；指示；选派::instruction, name, pointing, indication, specifies	adj::designate:: 指定的；选定的¦adj::designated:: 指定的；特指的¦adj::designer:: 由设计师专门设计的；享有盛名的；赶时髦的¦adj::designative:: 指定的；指明的；指名的¦n::design:: 设计；图案¦n::designer:: 设计师；谋划者¦vi::design:: 设计¦vt::design:: 设计；计划；构思¦vt::designate:: 指定；指派；标出；把…定名为		来自designate(vt. 指派， 指定)			
compete	kəm'pit	kəm'piːt	v::竞争；比赛；对抗::if one company or country competes with another, it tries to get people to buy its goods or servicesrather than those available from another company or country		He will be competing in the 100-metre race.::他将参加100米比赛。	vi::竞争；比赛；对抗::contest, war, cope	adj::competitive:: 竞争的；比赛的；求胜心切的¦adj::competing:: 相互矛盾的；抵触的¦adv::competitively:: 有竞争力地；好竞争地¦n::competition:: 竞争；比赛，竞赛¦n::competitor:: 竞争者，对手¦n::competitiveness:: 竞争力，好竞争¦v::competing:: 竞赛（compete的ing形式）		 com(共同， 一起) + pet(追求， 寻求) + e → 共同追求(一个目标) → 竞争			
furnish	'fɝnɪʃ	'fɜːnɪʃ	v::提供；供应；装备::to supply or provide something	furnish with::供给，提供；用…装饰	Will these finds furnish more information on prehistoric man?::这些发现是否能提供更多有关史前人类的资料？	vt::提供；供应；装备::afford, prepare, serve, tender, lend	n::furnishing:: 供给；装备；服饰；家俱¦v::furnishing:: 供给；装备；陈设（furnish的ing形式）		 fur(皮毛) + nish → 用皮毛提供装备 → 提供			
