internship	n::<美>实习医师	internship programs::实习计划；实习课程
trial	n::审判	on trial::在试验中；在受审¦clinical trial::临床试验；诊治试验¦trial production::产品试制¦trial and error::反复试验；尝试错误法¦trial run::试车；试验；测试运行¦free trial::免费试用¦trials and tribulations::艰难困苦；痛苦与磨难¦trial period::试用期¦trial order::试订单；试用订货¦first trial::初审；初次试验¦trial implementation::试行¦criminal trial::刑事审判¦fair trial::[法]公平审判¦field trial::（新产品等的）现场试验；（猎狗）实地追猎选拔或测试¦trial version::试用版¦civil trial::民事审判¦time trial::计时赛；计时游；计时测验¦by trial and error::反复试验，不断摸索¦stand trial::在受审¦court trial::法庭审判
untimely	adj::不适时的，不合时宜的	
omelet	n::煎蛋饼	
moth	n::蛾	diamondback moth::小菜蛾¦silkworm moth::蚕蛾¦gypsy moth::舞毒蛾（等于Porthetria dispar）¦silk moth::蚕蛾
champagne	n::香槟酒	pink champagne::玫瑰香槟酒¦champagne bottle::凹底很深的酒瓶；香槟酒瓶
dive	v::潜水	dive into::v. 投入；把手伸入；钻研¦dive in::开始大吃；头朝下跳入水中¦dive for::扑向；潜水寻找…¦take a dive::◎突然下降，急剧下降，(行市等)暴跌¦dive off::从…跳水¦scuba dive::水肺潜水，蛙潜¦nose dive::头部朝下的俯冲；（价格等的）暴跌；一落千丈¦fish dive::鱼跃
raft	n::木筏	raft foundation::筏式地基，板式基础¦life raft::救生筏¦bamboo raft::竹筏；竹排
slit	v::切开，撕开	slit lamp::[医]裂隙灯；缝灯；狭缝灯¦slit width::狭缝（缝隙）宽度
draw	v::拖	draw lessons from::从…吸取教训¦draw up::草拟，起草；停住；使靠近¦draw on::利用；吸收；戴上；临近¦draw a conclusion::得出结论；作结论¦draw out::取出；拟订；拉长；导致¦draw in::引诱；进站；接近黄昏；紧缩开支¦draw the conclusion::得出结论；推断¦draw attention::引起注意¦draw from::从…中得到；从…提取¦draw near::靠近；接近¦lucky draw::幸运抽奖¦draw a picture::画一张图；画幅画¦draw upon::利用；[经]开出；总结¦draw back::拉开；收回；退却；使保持距离¦draw a line::画一条线，划一界线¦draw nigh::接近，临近¦draw against::按…开具；打成平局¦draw together::聚集；靠拢¦draw bead::张力调整杆；拉深压边筋；拉道¦draw down::引来，招致；从涂层取样
cataract	n::大瀑布	
foam	n::泡沫	polyurethane foam::聚氨酯泡沫塑料；泡沫聚氨酯；聚氨酯泡沫体；聚乌拉坦泡沫胶¦foam rubber::泡沫橡胶；海绵乳胶¦foam plastic::泡沫塑料；泡沫塑胶¦polystyrene foam::泡沫塑料；泡沫聚苯乙烯¦phenolic foam::[化]酚醛泡沫体¦plastic foam::泡沫塑料¦foam glass::泡沫玻璃；蜂窝状玻璃¦rubber foam::泡沫橡胶；海绵橡胶；多孔橡胶¦rigid foam::硬质泡沫塑料；硬塑胶¦foam drilling fluid::泡沫钻井液¦foam filter::泡沫过滤器¦foam insulation::泡沫绝缘，泡沫绝热¦foam density::泡沫密度¦latex foam::乳胶发泡体¦foam profile::泡沫分布型¦foam concrete::泡沫混凝土；泡沫砼¦cleansing foam::洁面泡沫；洗面乳¦foam cell::泡沫细胞¦foam layer::泡沫层¦flexible foam::弹性泡沫塑料；软泡沫
omnibus	n::公共汽车	
scamper	v::奔跑	
brisk	adj::快的； 轻快的	
