abandon	ə'bændən	ə'bænd(ə)n	v::离弃；放弃::to leave someone, especially someone you are responsible for	with abandon::恣意地，放纵地¦abandon ship::弃船	How could she abandon her own child?::她怎么能抛弃自己的孩子？	n::狂热；放任::loose, mania¦vt::遗弃；放弃::desert, yield, quit	adj::abandoned:: 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的¦n::abandonment:: 抛弃；放纵¦v::abandoned:: 抛弃（abandon的过去式和过去分词）	reclaim	 a + band(乐队) + on → 乐队解散， 放弃演出 → 放弃			
abbreviation	əˌbrivɪ'eʃən	əbriːvɪ'eɪʃ(ə)n	n::缩略语::a short form of a word or expression		The abbreviation for Kansas is KS.::的缩写是。	n::[语]缩写；缩写词::abridgement, sigillum	adj::abbreviated:: 简短的；小型的；服装超短的¦n::abbreviator:: 缩写者；节略者¦v::abbreviated:: 缩写；节略（abbreviate的过去分词）¦vi::abbreviate:: 使用缩写词¦vt::abbreviate:: 缩写，使省略；使简短					
abnormal	æbˈnɔːrml	æb'nɔːml	adj::反常的；变态的::very different from usual in a way that seems strange, worrying, wrong, or dangerous	abnormal phenomena::异常现象¦abnormal behavior::异常行为；变态行为¦abnormal condition::异常情况¦abnormal psychology::变态心理学¦abnormal sound::不正常声音；杂音¦abnormal return::异常返回¦abnormal situation::异常情况¦abnormal distribution::[化]非正态分布¦abnormal menstruation::月经失调	abnormal behaviour::反常行为¦an abnormal level of cholesterol::胆固醇水平异常¦My parents thought it was abnormal for a boy to be interested in ballet.::我父母认为一个男孩子对芭蕾舞感兴趣并不正常。	adj::反常的，不规则的；变态的::unnatural, eccentric	adv::abnormally:: 反常地；变态地；不规则地¦n::abnormality:: 异常；畸形，变态¦n::abnormalcy:: 反常；变态；畸形（等于abnormality）					
abolish	ə'bɑlɪʃ	ə'bɒlɪʃ	v::废除::to officially end a law, system etc, especially one that has existed for a long time		Slavery was abolished in the US in the 19th century.::美国于19世纪废除了奴隶制。	vt::废除，废止；取消，革除::recall, suppress	adj::abolishable:: 可废止的；可废除的¦n::abolition:: 废除；废止¦n::abolitionist:: 废奴主义者；废除主义者¦n::abolitionism:: 废除主义；废奴主义	establish				
aboriginal	,æbə'rɪdʒənl	æbə'rɪdʒɪn(ə)l	n&a::土著(的)；土生动植物(的)::		He remained fascinated by the Aboriginals' tales.::他一直对澳大利亚土著人的故事很着迷。	adj::土著的；[生物]原始的::native, original, primitive, indigenous¦n::土著居民；[动]土生生物::indigenous population	n::aborigine:: 土著；土著居民					
abort	ə'bɔrt	ə'bɔːt	v::取消；流产::to deliberately end a  pregnancy  when the baby is still too young to live		The disease causes pregnant animals to abort.::这种疾病会导致怀孕的动物流产。	vi::流产；堕胎；夭折；发育不全::miscarry, come to an untimely end¦vt::使流产；使中止::discontinue	adj::abortive:: 失败的；流产的；堕胎的¦adj::abortifacient:: 堕胎的¦adv::abortively:: 失败地；流产地¦n::abortion:: 流产，小产；流产的胎儿¦n::abortifacient:: [药] 堕胎药¦n::abortionist:: （尤指非法）为人堕胎者					
abortion	ə'bɔrʃən	ə'bɔːʃ(ə)n	n::流产；(计划)失败::a medical operation to end a  pregnancy  so that the baby is not born alive	induced abortion::n. [医]人工流产¦spontaneous abortion::自然流产；自发性流产¦threatened abortion::先兆流产¦habitual abortion::习惯性流产¦incomplete abortion::不全流产，不完全流产	She decided to have an abortion .::她决定做人工流产。¦anti-abortion campaigners::参与反堕胎运动的人	n::[妇产]流产，小产；流产的胎儿::miscarriage, misbirth	adj::abortive:: 失败的；流产的；堕胎的¦adv::abortively:: 失败地；流产地¦n::abort:: 中止计划¦n::abortionist:: （尤指非法）为人堕胎者¦n::abortus:: 流产胎¦vi::abort:: 流产；堕胎；夭折；发育不全¦vt::abort:: 使流产；使中止					
abound	ə'baʊnd	ə'baʊnd	v::多；富于::	abound in::vt. 富于¦abound with::充满	Rumors of such coordination abound, but as with many rumors, they have no basis in fact.::关于这类协调的谣传很多；但如同许多其他谣传一样，它们没有事实根据。¦Finally, offer this closing prayer to the Lord: May the God of hope fill you with all joy and peace in believing, that you may abound in hope by the power of the Holy Spirit.::最后，将结束的祷告告诉主：愿在你拥有信仰的时候希望的上帝用快乐与和平充满你的人生，让你在圣灵的力量下富于希望。	vi::富于；充满::teem with, be imbued with	adj::abounding:: 丰富的；大量的¦v::abounding:: 大量存在；盛产（abound的ing形式）		 a(一个) + bound(界限， 范围) → 所有物品都在一个范围内 → 富于； 充满			
abrasion	ə'breʒən	ə'breɪʒ(ə)n	n::磨损，擦伤处::an area on the surface of your skin that has been injured by being rubbed against something hard	abrasion resistance::耐磨性；抗磨损性¦abrasion resistant::耐磨性，耐磨的¦resistance to abrasion::磨蚀阻力¦abrasion proof::[机]耐磨¦abrasion wear::磨损；磨耗¦abrasion test::磨耗试验¦abrasion performance::耐磨性，耐磨耗性¦surface abrasion::表面磨蚀，表面磨耗¦abrasion tester::磨耗试验机	She was treated for cuts and abrasions.::她因划伤和擦伤而接受治疗。	n::[口腔]磨损；[机]磨耗；[皮肤]擦伤::wear and tear, arrosion	adj::abrasive:: 粗糙的；有研磨作用的；伤人感情的¦n::abrasive:: 研磨料¦n::abrader:: 磨石；研磨器¦n::abrasiveness:: 研磨；磨蚀；[机] 磨损性¦vi::abrade:: 经受磨损；受擦伤¦vt::abrade:: 擦伤；磨损¦vt::abrase:: 磨损；擦伤（等于abrade）					
abridge	ə'brɪdʒ	ə'brɪdʒ	v::(书等)删节::to reduce the length of (a written work) by condensing or rewriting 		Article 33 A book publisher may alter or abridge a work with the permission of the copyright owner.::第三十三条图书出版者经作者许可，可以对作品修改、删节。	vt::删节；缩短；节略::cut, pot	adj::abridged:: 删节的；削减的¦n::abridgement:: 节略，缩写；减少¦n::abridgment:: 删节；删节本；[图情] 文摘；缩短；限制¦v::abridged:: 缩短；减少；删去（abridge的过去分词）					
abrupt	ə'brʌpt	ə'brʌpt	adj::突然的，粗暴的::sudden and unexpected	abrupt change::突变；陡变¦abrupt slope::陡坡	an abrupt change of plan::计划的突然改变	adj::生硬的；突然的；唐突的；陡峭的::sudden, short, angular	adv::abruptly:: 突然地；唐突地¦n::abruptness:: 突然；唐突；粗鲁无理；急缓度					
absorb	æbˈsɔrb; æbˈzɔrb; əbˈsɔrb	əb'zɔːb; -'sɔːb	v::吸收；吸引::to take in liquid, gas, or another substance from the surface or space around something	absorb in::集中精力做某事；全神贯注于	Plants absorb nutrients from the soil.::植物从土壤中吸收养分。	vt::吸收；吸引；承受；理解；使…全神贯注::attract, engage, see, read, seize	adj::absorbed:: 被吸收的；一心一意的¦adj::absorbent:: 能吸收的¦adj::absorbing:: 吸引人的；极有趣的¦adj::absorptive:: 吸收性的；有吸收力的¦adj::absorbable:: 可吸收的；容易被吸收的¦adj::absorbefacient:: 吸收性的¦n::absorption:: 吸收；全神贯注，专心致志¦n::absorbent:: [化工][核][化学] 吸收剂¦n::absorber:: 减震器；吸收器；吸收体¦n::absorbency:: 吸收能力；吸收性；吸墨性；[物化] 吸光率¦n::absorbefacient:: 吸收剂¦n::absorptance:: [物] 吸收率；吸收比¦v::absorbed:: 吸收；使全神贯注（absorb的过去分词形式）¦v::absorbing:: 吸收（absorb的ing形式）		 ab(离去) + sorb(吸收) → 吸收掉 → 吸收			
abstract	'æbstrækt	'æbstrækt	adj::抽象的::based on general ideas or principles rather than specific examples or real events¦n::(书籍、演说等的)摘要::a short written statement containing only the most important ideas in a speech, article etc	in the abstract::抽象地；理论上；概括地¦abstract art::n. 抽象派；抽象主义¦abstract class::[计]抽象类（不允许实例化的类）¦abstract thinking::抽象思维；抽象思考能力¦abstract painting::抽象画；抽象绘画¦abstract noun::抽象名词¦abstract factory::抽象工厂¦abstract data type::[计]抽象数据类型¦abstract expressionism::n. 抽象表现主义¦abstract idea::抽象观念¦abstract algebra::抽象代数¦abstract away from::对…不予考虑	By the age of seven, children are capable of thinking in abstract terms .::儿童到了七岁就具有抽象思维的能力。¦Human beings are the only creatures capable of abstract thought (=  thinking about ideas  ) .::人类是唯一具有抽象思维能力的动物。	n::[图情]摘要；抽象；抽象的概念::brief, summary, resume¦adj::抽象的；深奥的::deep, nonobjective¦vt::[图情]摘要；提取；使……抽象化::extract, brief	adj::abstracted:: 心不在焉的；出神的；分离出来的；抽出的¦adj::abstractionist:: 抽象派艺术的¦adj::abstractive:: 摘要式的；具有抽象能力的¦adv::abstractly:: 抽象地；理论上地¦adv::abstractedly:: 茫然地；抽象地；心不在焉地¦n::abstraction:: 抽象；提取；抽象概念；空想；心不在焉¦n::abstractionism:: 抽象派艺术；抽象主义理论¦n::abstractionist:: 抽象派艺术家；理想主义者¦n::abstractor:: 萃取器；[图情] 摘录者		 abs + tract(拉， 抽) → 抽象化			
absurd	əbˈsɚd, -ˈzɚd	əb'sɜːd	adj::可笑的，荒谬的::completely stupid or unreasonable	theatre of the absurd::荒谬剧场；荒诞派戏剧	It seems an absurd idea.::这似乎是个荒唐的想法。	adj::荒谬的；可笑的::ridiculous, preposterous	adv::absurdly:: 荒谬地；愚蠢地；悖理地¦n::absurdity:: 荒谬；谬论；荒谬的言行¦n::absurdness:: 荒谬；愚蠢；不合理	logical				
abundance	ə'bʌndəns	ə'bʌnd(ə)ns	n::丰富::a large quantity of something	in abundance::大量的；丰富的；充足的¦an abundance of::adj. 大量的……¦relative abundance::相对多度；元素丰度¦species abundance::物种丰度	This area of Mexico has an abundance of safe beaches and a pleasing climate.::墨西哥的这个地区有大量的安全沙滩与宜人的气候。	n::充裕，[地化]丰富::plenty, pregnancy, amplitude, enrichment	adj::abundant:: 丰富的；充裕的；盛产¦adv::abundantly:: 丰富地；大量地		来自abundant(a. 丰富的， 充裕的)			
abuse	ə'bjus	ə'bjuːz	n&vt::滥用；恶习；辱骂::the use of something in a way that it should not be used	drug abuse::药物滥用；毒品滥用¦child abuse::虐待儿童，摧残儿童¦substance abuse::物质滥用；滥用药物¦sexual abuse::性虐待¦abuse of power::滥用权力¦alcohol abuse::酒精滥用，酗酒¦physical abuse::躯体虐待；身体伤害；外观损坏¦verbal abuse::言语虐待；口头谩骂；说粗话，用污言秽语¦sex abuse::性虐待（等于sexual abuse）¦emotional abuse::精神虐待	A self-monitoring tax system is clearly open to abuse (=  able to be used wrongly  ) .::自我监督的税收制度明显会被滥用。	n::滥用；虐待；辱骂；弊端；恶习，陋习::punishment, vice¦vt::滥用；虐待；辱骂::strain, maltreat	adj::abusive:: 辱骂的；滥用的；虐待的¦adv::abusively:: 滥用地；辱骂地¦n::abused:: 滥用，恶习；受虐¦v::abused:: 滥用；虐待；辱骂（abuse的过去分词）		 ab(偏离) + us(使用) + e → 使用不当 → 滥用			
academic	,ækə'dɛmɪk	ækə'demɪk	adj::学术的；学校的::relating to education, especially at college or university level	academic research::学术研究¦academic circles::学术界¦academic year::学年¦academic achievement::学业成就；学业成绩¦academic performance::学习成绩；学业表现；学术成就¦academic study::学术研究¦academic exchange::学术交流¦academic problem::学术问题¦academic background::学术背景；学历；教育背景¦academic world::学术界¦academic freedom::n. 学术自由¦academic community::学术界；学术社群；高等教育界；高等学校的全体师生员工¦academic journal::学报，学术期刊¦academic degree::学位¦academic atmosphere::n. 学业风气，学习氛围¦academic education::学术教育；文理科教育¦academic work::学术工作；专门著作¦academic writing::论文写作；学术著作¦academic record::学业成绩¦academic discipline::n. 学术科目	He possessed no academic qualifications.::他没有学历。¦a program to raise academic standards::旨在提高学术水平的计划	adj::学术的；理论的；学院的::theoretical, collegial¦n::大学生，大学教师；学者::undergraduate, don, scholar, college student, university student	adv::academically:: 学术上；学业上¦n::academy:: 学院；研究院；学会；专科院校¦n::academia:: 学术界；学术生涯¦n::academician:: 院士；大学生；学会会员；大学教师¦n::academe:: 研究院；学院；学会（等于academy）¦n::academicism:: 形成主义；艺术院的作风¦n::academism:: 学院派；学院风气（等于academicism）					
accelerate	əkˈsɛləˌret	ək'seləreɪt	v::加速，变快::if a process accelerates or if something accelerates it, it happens faster than usual or sooner than you expect		measures to accelerate the rate of economic growth::加快经济增长速度的措施	vi::加速；促进；增加::improve, increase speed	adj::accelerated:: 加速的；加快的¦adj::accelerating:: 促进的，[物] 加速的；催化的¦adj::accelerative:: 加速的；促进的；催促的¦adj::acceleratory:: 加速的；催促的（等于accelerative）¦n::acceleration:: 加速，促进；[物] 加速度¦n::accelerator:: 油门；催化剂；[机] 加速装置¦n::accelerometer:: [航][物] 加速计¦v::accelerated:: 加速；促进（accelerate的变形）		 ac(=to) + celer(快速的) + ate(使…) → 加速； 促进			
access	'æksɛs	'ækses	n::通路::the way you use to enter a building or reach a place	access control::访问控制¦have access to::使用；接近；可以利用¦internet access::互联网接入¦easy access::便于检修；容易接近¦market access::市场准入；进入市场；开放市场¦data access::数据存取¦multiple access::[电脑]多路存取；多路访问¦open access::开放存取；开架阅览¦direct access::[计]直接存取¦access network::接入网；接取网络¦broadband access::宽带接入；宽频存取；宽带通信¦network access::网络接入；网络访问¦gain access::获得访问权限¦free access::自由访问；自由存取；自由入口¦remote access::[计]远程访问；远程存取¦get access to::获得；接近；可以使用¦code division multiple access::码分多址联接方式¦random access::随机存取¦public access::公共存取¦database access::数据库存取	Access is by means of a small door on the right.::入口是右边的一扇小门。	vt::使用；[计]存取；接近::make use of, fashion, employ, border, exercise¦n::进入；使用权；[电]通路::opening, admittance	adj::accessible:: 易接近的；可进入的；可理解的¦n::accessibility:: 易接近；可亲；可以得到¦n::accession:: 增加；就职；到达¦vt::accession:: 登记入册		 ac + cess(走) → 走进去 → 进入			
accessory	ək'sɛsəri	ək'ses(ə)rɪ	n::同谋者；附件::something such as a piece of equipment or a decoration that is not necessary, but that makes a machine, car, room etc more useful or more attractive	accessory equipment::辅助设备¦accessory nerve::副神经¦accessory ingredient::助剂；配合剂	bathroom accessories such as mirrors and towel-rails::镜子和毛巾架等浴室配件	n::配件；附件；[法]从犯::attachment, mating parts¦adj::副的；同谋的；[昆]附属的::deputy, vice, subsidiary, auxiliary	adj::accessary:: 附属的；附带的；从犯的¦adj::accessorial:: 附属的；增加的；补充的¦n::accessary:: 附件；装饰品；从犯		 ac(附近) + cess(走) + ory → 接近主体部件 → 附件， 零件			
