adrift	ə'drɪft	əˈdrɪft	adj::漫无目的地； 漂浮着		Several of the lifeboats were still afloat a month after being cast adrift .::放漂一个月后，有几艘救生艇还在漂流。
aftermath	'æftəmæθ	ˈɑ:ftəmæθ	n::后果；余波		In the aftermath of the coup, the troops opened fire on the demonstrators.::在那次政变的余波之中，军队向示威者开了枪。
afterworld	'æftəwɝld	'ɑ:ftəwɜ:ld	n::阴间		
ample	'æmpl	ˈæmpl	adj::足够的；丰富的	ample evidence::充分证据	an ample bosom::丰满的胸部
ascertain	'æsɚ'ten	ˌæsəˈteɪn	v::确定，查明		A postmortem was ordered to try to ascertain the cause of death.::下令验尸以查明死因。
assure	ə'ʃʊr	əˈʃʊə(r)	v::向...保证，使...确信	assure oneself::弄清楚，查明¦assure of::vt. 向...保证）；查明（使相信	The document is genuine, I can assure you .::我能向你保证，这文件是真的。
attain	ə'ten	əˈteɪn	v::获得；得到		More women are attaining positions of power.::越来越多的女性获得要职。
autopsy	'ɔtɑpsi	ˈɔ:tɒpsi	n::尸体剖检		an autopsy report::验尸报告
Bible	'baɪbl	ˈbaɪbəl	n::圣经	holy bible::n. 圣经¦bible society::圣经公会¦family bible::家庭圣经；家庭用大型圣经¦bible school::圣经学校¦bible paper::圣经纸；字典纸；印度纸¦american bible society::美国圣经学会（1816年创立于美国纽约的基督教国际组织）	...a publisher of bibles and hymn books.::…一家《圣经》册本和圣歌集出版商。
charitable	'tʃærətəbl	ˈtʃærətəbl	adj::仁慈的	charitable foundation::慈善基金，慈善机构¦charitable donation::慈善捐款	charitable groups::慈善团体¦a charitable donation::慈善捐赠
combination	,kɑmbɪ'neʃən	ˌkɒmbɪˈneɪʃn	n::结合体，混合物	combination of::…的组合¦in combination::结合¦combination with::与…结合¦in combination with::与…结合，与…联合¦linear combination::线性组合¦color combination::配色；颜色合成¦business combination::企业合并¦chemical combination::化合；化合作用¦combination skin::混合性皮肤¦permutation and combination::n. [数]排列组合¦key combination::[计]组合键，关键字组合¦combination property::综合性能¦load combination::荷载组合，负载组合¦convex combination::[数]凸组合¦combination of enterprise::企业合并¦combination lock::暗码锁；号码锁¦combination valve::复合阀¦combination drilling::联合钻眼，联合钻井¦combination switch::组合开关；控制器	a combination nightclub and café::夜总会兼咖啡馆
concept	'kɑnsɛpt	ˈkɒnsept	n::观念；想法	new concept::新概念¦basic concept::基本概念；本义¦design concept::设计理念；设计构思；设计原理¦concept design::概念设计¦marketing concept::市场营销观念¦general concept::一般概念；概念知识¦product concept::产品概念¦key concept::关键概念；基本概念；主要概念¦concept map::概念图¦concept car::概念车¦concept development::概念发展¦time concept::时间概念¦concept art::概念艺术；概念创作图¦operational concept::操作概念；作战原则¦production concept::生产观念¦concept vehicle::概念车¦accounting concept::会计基础理论；会计学概念；会计观念¦concept learning::概念学习¦spatial concept::空间概念¦concept formation::概念形成	a new concept in business travel::商务旅行的新理念¦our basic concepts of decent human behaviour::我们对得体的人类行为的基本观念¦It’s very simple, once you grasp the concept .::你一旦掌握了这个概念之后就很简单了。
congress	'kɑŋɡrəs	ˈkɒŋgres	n::国会；大会	national people's congress::全国人民代表大会¦library of congress::n. 美国国会图书馆¦congress party::国大党¦african national congress::非洲国民大会¦continental congress::大陆会议¦member of congress::国会议员；美国众议院议员¦act of congress::国会法	a congress of the ruling Labor Party::执政党工党的代表大会
consequence	'kɑnsəkwɛns	ˈkɒnsɪkwəns	n::结果	as a consequence::因此，结果¦in consequence::因此；结果¦as a consequence of::因此；由于…的结果¦in consequence of::由于…的缘故¦of consequence::重要，有意义¦of no consequence::无足轻重¦evil consequence::恶果¦immediate consequence::直接后果¦economic consequence::经济后果；经济结果	Her lawyer said she understood the consequences of her actions and was prepared to go to jail.::她的律师说她明白自己行为的后果并准备去坐牢。
contagious	kən'tedʒəs	kənˈteɪdʒəs	adj::有感染力的；会蔓延的	contagious disease::接触传染病	her contagious enthusiasm::她那富有感染力的热情
