sensible	adj::可感觉的；明智的	sensible heat::显热；焓¦sensible of::察觉；了解
sign	n::记号；标志；征兆¦v::签名	sign up::签约雇用，签约参加¦sign on::开始广播；签约雇用¦sign for::签收¦sign in::签到；注册；登记；签收¦sign up for::注册，选课；报名参加¦sign language::手语；符号语言¦sign a contract::签订合同；签合同；签署合同¦signs and wonders::神迹奇事¦traffic sign::交通标志¦shop sign::店铺招牌；牌号¦warning sign::警告标志；警报信号¦stop sign::停车标志；停止信号/标志¦star sign::星座¦sign off::停止活动；停止广播¦road sign::路标，道路标志¦zodiac sign::星座；生肖；黄道十二宫¦positive sign::n. 正号¦sign of the zodiac::星座老虎机；[天]黄道十二宫¦sign out::签名登记离开；用签名记录离开的时间¦equal sign::等号
as	prep::与...形成对照	as well::也；同样地；还不如¦as well as::也；和…一样；不但…而且¦as one::一致的¦as soon::◎宁愿…，宁可…¦as soon as::一…就…¦as long as::只要；和…一样长¦as if::犹如，好似¦as much::也；同样多的¦as for::关于，至于¦as soon as possible::尽快¦as a whole::总的来说¦as far as::adv. 至于，直到，远到；就…而言¦as of::自……起¦as though::好像；仿佛¦as being::就是；即像¦as early as::早在…的时候¦as usual::像往常一样；照例¦as good as::和…几乎一样，实际上等于…¦as per::按照，依据；如同¦as such::同样地；本身；就其本身而论
explicit	adj::清楚的，明确的	explicit expression::显式表达式¦explicit knowledge::显性知识；外显知识¦explicit memory::外显记忆¦explicit function::显函数¦explicit formulation::显式
wreck	n::破坏，船舶失事；失事船只	train wreck::失事列车；训练残骸
ravage	vt&vi::毁坏，蹂躏；抢劫，掠夺	
wreathe	vt&vi::覆盖，包围	
impede	v::妨碍；阻碍	
thesis	n::(学位)论文	graduation thesis::毕业论文；毕业设计¦thesis writing::论文写作¦scientific thesis::科学论点¦thesis defense::论文答辩
precedent	n::先例，前例	judicial precedent::司法判例¦condition precedent::先决条件¦conditions precedent::先决条件
lofty	adj::极高的，高尚的，高傲的	
fridge	n::冰箱	
immune	adj::免除的；安全的，不受影响的	immune system::免疫系统¦immune response::免疫反应（体内免疫系统对外来有机体或化学物挑战所作出的反应）；免疫应答；免疫响应¦acquired immune deficiency syndrome::艾滋病；获得性免疫缺陷综合症¦immune globulin::免疫球蛋白¦immune surveillance::免疫监督¦immune complex::免疫复合物¦immune serum::免疫血清¦immune body::注射疫苗后在身体内所产生的抗体
scratch	v::抓；搔，挖¦n::抓痕，擦伤	from scratch::白手起家；从头做起¦start from scratch::从头开始；白手起家；从起跑线开始¦up to scratch::达到标准¦without a scratch::一点儿也没受伤，安然无恙¦scratch the surface::只做了肤浅的研究；不深刻，不周详¦scratch for oneself::[美国口语]关心自身利益¦scratch line::n. 起跑线¦on scratch::准时，正点¦scratch resistance::抗划伤；耐擦伤性¦starting from scratch::白手起家；从零开始¦scratch resistant::耐划伤性¦scratch test::过敏性测验；划痕试验
circulate	v::循环，流通	
nitrogen	n::[化]氮	ammonia nitrogen::氨氮；氨型氮，氨基氮¦nitrogen content::含氮量；总氮量¦total nitrogen::总氮，总氮量¦nitrogen fertilizer::氮肥；氮肥肥料¦liquid nitrogen::液氮¦nitrogen oxide::氧化氮；氮的氧化物¦nitrogen source::氮源；氮源物质¦nitrogen fixation::[化]固氮作用¦nitrate nitrogen::硝态氮；硝酸盐氮¦urea nitrogen::尿素氮；脲氮¦nitrogen metabolism::氮代谢¦nitrogen concentration::氮浓度¦amino nitrogen::[化]氨基氮¦nitrogen dioxide::[化]二氧化氮¦nitrogen supply::氮供应¦nitrogen balance::[生化]氮平衡¦biological nitrogen fixation::生物固氮；生物固氮酌；生物固氮作用¦nitrogen cycle::氮循环¦nitrogen flow::氮化怜¦nitrogen treatment::氮化处理
alone	a&ad::孤独的(地)	let alone::更不必说；听任；不打扰¦all alone::独立地，独自地¦stand alone::孤立；独一无二¦alone with::与…一起¦live alone::独自生活；一个人住；单独居住¦left alone::不干涉，不管；放开¦feel alone::感到孤单¦go it alone::单干；独自过活¦go alone::一个人去；独自去¦travel alone::单独一人旅游¦leave alone::不打扰；不干涉；不管；不理¦alone with her::与她在一起（电影名称）
sieve	n::(细)筛，过滤网	molecular sieve::[化]分子筛¦sieve plate::n. 筛板¦sieve tray::[化]筛盘¦vibration sieve::振动筛¦sieve pore::筛孔¦sieve tube::筛管
spiral	adj::螺旋形的	spiral bevel gear::弧齿锥齿轮；螺旋伞齿轮¦spiral groove::螺旋沟¦spiral case::蜗壳；水轮机蜗壳¦downward spiral::向下旋转；螺旋式下跌；减记恶性循环¦spiral flow::螺旋流¦spiral pipe::螺旋管¦spiral wound::[医]螺旋状伤¦spiral angle::捻角；螺线角；蜗线角¦spiral chute::蜗旋滑槽；螺旋斜槽¦spiral spring::螺旋弹簧¦spiral galaxy::n. 螺旋星云（等于spiral nebula）¦spiral staircase::n. 螺旋梯¦spiral classifier::螺旋分级机¦spiral wound gasket::金属缠绕垫；缠绕式垫片¦spiral line::螺旋线¦logarithmic spiral::[数]对数螺线¦spiral type::n. 螺旋式¦spiral casing::蜗壳¦spiral weld::螺旋形焊缝¦spiral curve::螺旋曲线
mercenary	adj::唯利是图的，为钱的	mercenary marriage::买卖婚姻；着眼实利的婚姻
mechanism	n::机械装置；机构；机制	market mechanism::市场机制；市场调节作用¦reaction mechanism::反应机理¦incentive mechanism::激励机制¦control mechanism::控制机构¦operating mechanism::操作机构；工作机构¦failure mechanism::破坏机理；失效机理¦transmission mechanism::传导机制；传动装置¦mechanism of action::作用机制；作用机理¦transfer mechanism::传动机构；转帐机构¦corrosion mechanism::腐蚀机理¦drive mechanism::驱动机构；传动装置¦price mechanism::价格机制¦driving mechanism::[计]驱动器；转仪装置¦mechanism design::机制设计（微观经济学和博弈论的分支领域）；机构设计（学科名称）；机械设计¦cam mechanism::凸轮机构¦mechanism model::机理模型¦competitive mechanism::竞争机制；竞争过程¦fracture mechanism::断裂机理；断裂机制¦generation mechanism::产生机制¦degradation mechanism::老化机构；降解机制
integrate	v::使一体化，取消种族隔离	integrate with::使与…结合¦integrate into::成为一体，融入；使…并入¦integrate circuit::集成电路
earnest	adj::认真的，坚决的	in earnest::认真的；诚挚地；正经的¦in real earnest::adv. 认真地¦in sad earnest::[古语]十分严肃地，一本正经地
adolescence	n::青春，青春期	late adolescence::青春晚期
grave	adj::严重的¦n::墓	watery grave::葬身鱼腹，溺死¦grave concern::严重关切¦mass grave::乱葬冈；集体埋葬的墓地¦rise from the grave::死后复活(源自《圣经》)
intrigue	v::用诡计取得；激起的兴趣¦n::阴谋	
claim	n::要求；款项；要求权；要求之物¦v::宣称	claim for::要求；索取¦claim for compensation::索赔¦lay claim to::要求；自以为¦make a claim::索赔；对…提出要求¦lodge a claim::提出索赔¦right of claim::请求权；求偿权¦insurance claim::保险索赔¦residual claim::剩余权益；[经]剩余索偿权¦baggage claim::行李认领；领取行李；取行李处¦claim damages::要求损害赔偿¦claim form::索赔申请表；催询单；催缺通函¦claim compensation::要求赔偿¦contingent claim::未定权益；或有求偿权；附带要求¦claim tag::n. 行李票¦file a claim::提出索赔¦have a claim on::有对…的要求权¦claim for damage::由于损坏而索赔；赔偿损害要求¦independent claim::[法律]独立请求书¦claim indemnity::索赔¦false claim::[经]无根据的债权
opt	v::挑选，选择	opt for::选择¦opt out::决定退出；插播；请求免除¦opt out of::决定不参加...；决定（从...）退出¦opt in::选择参加
stipulate	v::规定，约定	stipulate for::v. 制订；规定
eradicate	v::根除；消除	
delirium	n::神智昏迷，说胡话；极度兴奋	
pole	n::极	north pole::n. 北极¦south pole::[地]南极，南极地带¦growth pole::增长极；增长点；发展轴心¦magnetic pole::[物]磁极；磁北极¦positive pole::阳极；[物]正极¦pole assignment::极点配置¦pole vault::撑竿跳，撑杆跳高¦bamboo pole::竹枝¦negative pole::n. 阴极，负极¦up the pole::adv. 进退两难¦electric pole::电极；电杆；电力高压线杆¦pole figure::极像图¦shaded pole::罩极，蔽极；屏蔽磁极¦surveyor's pole::测量标杆¦pole plate::极板¦single pole::单极¦totem pole::图腾柱；阶级，等级¦fishing pole::鱼杆，钓竿；钓鱼杆¦telephone pole::电话线杆¦salient pole::凸极
herd	n::兽群，牧口群，牧人¦v::把赶到一起	a herd of::一群（牛、鹿等）¦herd behavior::羊群行为；羊群效应；从众行为；群体恐慌行为¦herd instinct::[心]群居本能，群体心理
stitch	n::缝纫；缝线；(肋部)突然剧痛	a stitch in time::及时处理¦stitch length::针距；线圈长度；针迹长度¦cross stitch::十字缝；十字针法¦in stitches::忍不住大笑，忍俊不禁¦chain stitch::[纺]链式缝法¦a stitch of::[口语]一点儿，极少量¦stitch on::缝上¦plain stitch::平针织，平针线圈¦edge stitch::车边线；边线
slag	n::矿渣，炉渣，熔渣	steel slag::钢渣¦blast furnace slag::高炉矿渣¦slag cement::矿渣水泥；熔渣水泥¦carbide slag::电石渣；碳化物炉渣¦molten slag::熔渣；熔化熔渣¦slag inclusion::夹渣；渣孔；含渣¦granulated blast furnace slag::粒状高炉矿渣¦slag removal::夹渣的清除¦coal slag::煤渣¦slag concrete::矿渣混凝土；熔渣混凝土¦vanadium slag::n. 钒渣¦welding slag::焊渣¦foamed slag::泡沫矿渣；泡沫熔渣¦ground slag::n. 矿渣粉¦slag tapping::出渣¦remaining slag::剩余熔渣
consolidate	v::巩固;¦加强；把::合为一体	
civic	adj::城市的；市民的	civic education::公民教育¦civic center::市中心；市府大厦¦civic centre::市中心；市政大厅¦civic virtues::n. 公民道德¦civic building::民用房屋，民用房屋
clash	v&n::金属碰撞声；互碰；时间冲突；抵触	clash with::与…冲突，不调和
distract	v::分散(注意力等)	distract from::转移；使从…分心
strap	n::皮带，带¦v::用带束住；捆扎	leather strap::皮带，皮表带¦shoulder strap::肩章；保护肩部的衬垫¦wrist strap::防静电手环，腕带¦steel strap::护顶钢板；钢板
format	n::格式，版式；形式，方式	file format::[计]文件格式¦data format::数据格式¦standard format::标准格式；标准书型¦output format::[计]输出格式¦digital format::数位格式¦image format::图像格式；影像格式¦document format::n. 文档格式¦report format::报表格式¦format string::格式字符串¦message format::消息格式；报文格式¦storage format::存储格式¦general format::n. 通用格式；一般格式¦time format::n. 时间格式¦compressed format::n. 压缩格式¦binary format::二进形式，二进制格式¦fixed format::固定格式¦record format::记录格式¦word format::字格式¦date format::n. 日期格式¦picture format::[计]图片格式
company	n::伴随；人群；同伴；公司	limited company::有限公司；（英）股份有限公司（等于limited-liability company）¦in company::一起；当众¦company with::奉陪；与…一起¦for company::陪伴，作伴¦trading company::贸易公司¦insurance company::保险公司¦liability company::有限公司¦company limited::有限公司¦listed company::上市公司，股票上市的公司¦group company::集团公司¦limited liability company::股份有限公司¦construction company::建筑公司¦company profile::公司简介；公司概况；企业介绍¦development company::开发公司¦power company::电力公司¦manufacturing company::制造企业，制造公司¦holding company::控股公司；股权公司¦shipping company::航运公司；船舶公司¦parent company::总公司，母公司¦company law::[经]公司法
trench	n::地沟	in the trenches::◎在第一线，在现场¦cable trench::电缆沟；电缆槽¦trench cover::沟盖板¦trench warfare::堑壕战¦trench coat::n. 军用防水短上衣¦pipe trench::管沟
vain	adj::徒劳的，无效果的；自负的；不尊敬的	in vain::徒然；无效¦vain glory::虚荣
exempt	vt&a::免除，被豁免的	exempt from::豁免，免除¦exempt from tax::免税¦tax exempt::免税的
mask	n::面具；口罩¦v::遮蔽，伪装	face mask::面罩；面具¦oxygen mask::n. 氧气面罩¦shadow mask::荫罩；障板¦subnet mask::n. 子网掩码¦gas mask::[化]防毒面具，毒气面具¦surgical mask::医用口罩；手术口罩；外科医生的口罩¦under the mask of::在…假面具下；假借…之名；假称；假托¦protective mask::防毒面具¦solder mask::焊接掩模；焊接淹模¦mask off::[计]屏蔽
dwell	v::居住；详述	dwell on::详述；细想¦dwell time::保压时间；停延时间¦dwell upon::深思；细想；仔细想
misgiving	n::怀疑，疑虑	
vex	v::使烦恼，使苦恼	
fare	n::车(船)费	bus fare::公共汽车票钱；公车票；公车费率¦air fare::飞机票价；航空费用；航空票价¦taxi fare::的士收费；出租汽车费¦bill of fare::菜谱，菜单；节目单¦car fare::交通费¦ticket fare::票价¦full fare::全程票价；全价票
